OBJECTID,ZCTA5CE10,GEOID10,CohortCnt,GradCnt,GradRate,Shape__Area,Shape__Length
162,48617,2648617,100,97,0.97,3896155946.71875,417945.586909061
163,48823,2648823,275,252,0.916363636363636,631140680.293945,248433.182972507
164,48808,2648808,71,66,0.929577464788732,755489229.891602,206781.005263261
165,48848,2648848,84,79,0.94047619047619,1975343060.90186,354383.603293158
166,49733,2649733,123,115,0.934959349593496,3563614454.16211,473290.460884564
167,49854,2649854,89,80,0.898876404494382,15493655273.3223,1054087.86211243
168,49870,2649870,55,55,1,1550761769.77539,350008.756599833
169,48827,2648827,188,158,0.840425531914894,3134988061.1604,400442.961869655
170,48876,2648876,53,41,0.773584905660377,391102130.293457,143807.533387457
171,49740,2649740,66,64,0.96969696969697,3926510214.67188,335518.32848844
172,49938,2649938,59,56,0.949152542372881,7253118168.27344,827043.205887462
173,49969,2649969,,,,7954701053.19727,422148.363967592
174,49649,2649649,100,90,0.9,2908242125.2666,393521.287579709
175,49686,2649686,462,354,0.766233766233766,4163512834.89355,571957.933060048
176,48856,2648856,82,51,0.621951219512195,766841193.212891,143814.445116192
177,49220,2649220,55,47,0.854545454545455,796924428.923462,229873.011902554
178,49288,2649288,24,18,0.75,1053731855.66834,206250.564575814
179,49262,2649262,18,14,0.777777777777778,639829271.988525,160409.990071635
180,48755,2648755,65,53,0.815384615384615,1631358327.69727,340464.111382012
181,48726,2648726,77,71,0.922077922077922,3558726134.67969,424956.166743724
182,48475,2648475,56,54,0.964285714285714,3002679318.95313,412548.93108526
183,49251,2649251,102,90,0.882352941176471,1633730259.34717,270436.146642871
184,48895,2648895,165,152,0.921212121212121,2327239848.09961,281854.142460347
185,49331,2649331,294,280,0.952380952380952,2599118992.24463,333627.39349368
186,49230,2649230,99,97,0.97979797979798,2010268674.01514,275982.744053212
187,49024,2649024,359,324,0.902506963788301,483237442.16748,114216.463705058
188,49341,2649341,618,590,0.954692556634304,2420281117.98242,366433.385623602
189,49321,2649321,167,142,0.850299401197605,735079687.594238,176594.013166891
190,49418,2649418,452,413,0.913716814159292,544481711.513672,143064.406851994
191,48412,2648412,,,,1422898816.50537,245929.65425079
192,48444,2648444,170,164,0.964705882352941,2264652095.53125,300263.726492201
193,49664,2649664,64,61,0.953125,1668238837.23828,248769.566841582
194,49286,2649286,222,196,0.882882882882883,1678241403.66455,346729.880666764
195,48176,2648176,14,10,0.714285714285714,2083953591.85278,288349.289565542
196,48114,2648114,100,63,0.63,968817003.244629,219851.107650256
197,48855,2648855,24,13,0.541666666666667,2578254612.41113,319626.964117636
198,48353,2648353,466,458,0.982832618025751,391569950.770996,111332.984417695
199,48313,2648313,1189,1091,0.91757779646762,257331037.961914,84151.6246710831
200,48091,2648091,306,189,0.617647058823529,222765999.932129,64094.0929001314
201,48316,2648316,652,635,0.973926380368098,316291314.338379,74317.126375105
202,48047,2648047,23,0,0,646986289.293945,140373.937292451
203,48045,2648045,323,312,0.96594427244582,664516841.070313,117568.611354574
204,49307,2649307,236,187,0.792372881355932,3881385229.17578,434293.0336416
205,48640,2648640,471,405,0.859872611464968,2918552300.08887,458247.374572038
206,48891,2648891,58,42,0.724137931034483,1205987492.43896,249157.046815547
207,49425,2649425,70,53,0.757142857142857,1810841495.31982,307300.250683522
208,49404,2649404,183,175,0.956284153005464,1753861694.54395,314663.680107305
209,49451,2649451,78,70,0.897435897435897,2346013925.86914,296310.540916514
210,49421,2649421,57,50,0.87719298245614,3778576972.73047,453291.53736514
211,48340,2648340,263,183,0.695817490494297,211734777.057129,80400.551358838
212,48220,2648220,326,243,0.745398773006135,123545424.525879,56216.4514013448
213,48329,2648329,341,320,0.93841642228739,345064816.96875,118186.216954637
214,48076,2648076,91,91,1,198439216.345215,62034.098992938
215,48393,2648393,64,29,0.453125,375802939.031738,110482.302977472
216,48167,2648167,12,0,0,501305813.368164,186513.015568843
217,49455,2649455,86,78,0.906976744186046,2487919788.77051,419925.386382551
218,49925,2649925,21,20,0.952380952380952,3548850465.62695,488739.22997254
219,48616,2648616,127,115,0.905511811023622,2256637476.19971,315218.277036435
220,48607,2648607,23,7,0.304347826086957,26357146.5302734,26963.4524825505
221,48079,2648079,182,168,0.923076923076923,1202029388.07471,154229.051193139
222,48060,2648060,519,314,0.605009633911368,667605220.801758,144014.389763263
223,48059,2648059,226,213,0.942477876106195,1081367702.06201,183073.20071978
224,48419,2648419,46,30,0.652173913043478,2183811703.4541,309115.242871416
225,48471,2648471,77,68,0.883116883116883,2813037215.23535,311213.455783041
226,48723,2648723,127,104,0.818897637795276,3700652570.10059,385363.330934974
227,48197,2648197,518,407,0.785714285714286,1202956527.13721,210153.471834306
228,48207,2648207,534,463,0.867041198501873,178480348.045898,97546.2540646011
229,48174,2648174,211,125,0.592417061611374,1154584183.47583,262991.055213012
230,48126,2648126,831,743,0.89410348977136,275817089.523682,115823.42803198
231,48228,2648228,287,176,0.613240418118467,240005915.887207,94663.0918082456
232,48219,2648219,158,96,0.607594936708861,234397032.666992,72723.3636361511
233,48203,2648203,131,16,0.122137404580153,223591110.626709,69684.1976915681
234,48138,2648138,167,163,0.976047904191617,298961164.141602,154778.340273414
235,49316,2649316,344,327,0.950581395348837,1616526036.03467,229571.893024837
236,49629,2649629,86,76,0.883720930232558,259553782.456055,84514.1909931692
237,48849,2648849,165,151,0.915151515151515,2340086687.92529,311038.633712394
238,48611,2648611,290,272,0.937931034482759,1072936917.95801,183049.522021321
239,49616,2649616,20,6,0.3,1040216528.55957,184919.070880199
240,49107,2649107,120,103,0.858333333333333,1866582283.88684,266215.565161683
241,49036,2649036,245,193,0.787755102040816,4608185487.90881,446114.670791641
242,49245,2649245,60,56,0.933333333333333,2715786147.98975,288471.881674092
243,49031,2649031,79,53,0.670886075949367,3326432648.39844,445527.987382438
244,49769,2649769,45,43,0.955555555555556,1570050726.58008,289374.957342107
245,49725,2649725,13,2,0.153846153846154,1843213146.07813,239892.723746575
246,48622,2648622,115,98,0.852173913043478,2684732928.86816,329267.868199706
247,48894,2648894,70,69,0.985714285714286,803447671.577148,167164.614069182
248,49837,2649837,127,76,0.598425196850394,2154172701.83984,414681.328768527
249,48504,2648504,222,103,0.463963963963964,432792065.169922,130741.235851886
250,48463,2648463,122,105,0.860655737704918,991446245.813477,200441.867360084
251,49620,2649620,37,29,0.783783783783784,1466828264.35742,314927.744920345
252,48637,2648637,54,29,0.537037037037037,2030655636.00244,303765.551518368
253,48850,2648850,113,90,0.79646017699115,2287107323.17334,355552.974883617
254,49336,2649336,93,84,0.903225806451613,2211106773.39258,285711.534218567
255,49631,2649631,58,50,0.862068965517241,4260966552.51758,562515.19401032
256,49657,2649657,70,60,0.857142857142857,2705465900.44629,405778.704438893
257,48117,2648117,186,158,0.849462365591398,1538692509.65698,245660.676785198
258,48134,2648134,516,426,0.825581395348837,512051893.552246,160545.668979005
259,48111,2648111,409,346,0.845965770171149,1945053482.68579,234499.232231826
260,48888,2648888,131,97,0.740458015267176,2517462737.20605,338006.491030842
261,49444,2649444,49,34,0.693877551020408,677689599.338379,259288.51143478
262,49441,2649441,446,399,0.894618834080718,1007228131.96875,217253.134194496
263,48341,2648341,45,23,0.511111111111111,184853426.221191,104287.320447794
264,48302,2648302,407,387,0.950859950859951,342119229.350098,105004.141315431
265,48304,2648304,306,306,1,317718410.703613,87748.9067436961
266,48346,2648346,640,594,0.928125,524928970.194824,121144.327956273
267,48237,2648237,618,450,0.728155339805825,143589203.791016,58545.8435441518
268,48025,2648025,326,299,0.917177914110429,224238948.387207,82546.5087932432
269,48017,2648017,155,136,0.87741935483871,61169624.8305664,38403.0521513809
270,48621,2648621,29,22,0.758620689655172,1595126761.66602,306789.550411103
271,48854,2648854,255,228,0.894117647058824,3117641791.95801,400917.107170146
272,49879,2649879,,,,4168597379.68555,557093.250730349
273,49340,2649340,151,114,0.754966887417219,2432472799.72949,383514.699618791
274,49505,2649505,189,154,0.814814814814815,254311552.412109,80519.1680538703
275,49327,2649327,109,93,0.853211009174312,2638439348.83203,358345.871377019
276,49265,2649265,132,111,0.840909090909091,899122910.606445,179120.529762582
277,48005,2648005,158,145,0.917721518987342,1018390411.00537,127784.16387385
278,49841,2649841,64,48,0.75,5488792391.87109,584876.207643775
279,48001,2648001,108,100,0.925925925925926,659152431.838379,176252.782661765
280,48039,2648039,175,154,0.88,693494269.350098,112629.871054597
281,48768,2648768,108,86,0.796296296296296,2942242925.40625,402429.672067773
282,49057,2649057,68,56,0.823529411764706,1464322674.84082,249112.710136029
283,48201,2648201,811,772,0.951911220715166,55897578.4987793,46716.3131174728
284,48127,2648127,503,418,0.831013916500994,214685825.135742,73959.272114342
285,49348,2649348,212,190,0.89622641509434,1906167490.7583,353320.513991496
286,49453,2649453,76,74,0.973684210526316,330809522.744141,106118.524957254
287,49315,2649315,270,245,0.907407407407407,1492864177.32324,275768.801279545
288,48658,2648658,120,112,0.933333333333333,2439151980.33398,339775.870213227
289,49021,2649021,38,22,0.578947368421053,2600797316.84473,327109.59923658
290,48708,2648708,283,232,0.819787985865724,800276342.176758,174143.600404339
291,49635,2649635,38,35,0.921052631578947,1766700676.18555,313470.745327431
292,49684,2649684,360,342,0.95,3514982589.70801,568075.591340584
293,49255,2649255,40,34,0.85,1124550902.24554,249703.962407764
294,49011,2649011,44,42,0.954545454545455,908030208.898438,204091.274216838
295,49015,2649015,366,310,0.846994535519126,673595124.901611,144266.776071397
296,49034,2649034,33,28,0.848484848484849,1062741611.36597,207229.701401688
297,49093,2649093,195,164,0.841025641025641,3127962678.07227,402766.933606607
298,49782,2649782,,,,2086268105.89453,597257.369206728
299,48506,2648506,276,232,0.840579710144927,550849369.168945,140324.746626676
300,48420,2648420,224,181,0.808035714285714,1805899057.01904,281122.716122657
301,48418,2648418,89,79,0.887640449438202,1101367464.35938,219829.380070119
302,48746,2648746,114,99,0.868421052631579,2287174437.13525,316342.524358771
303,48438,2648438,183,176,0.961748633879781,919028105.560547,209080.543372312
304,48442,2648442,293,244,0.832764505119454,2483145396.71582,341833.054365676
305,49911,2649911,27,27,1,1159599997.17773,222235.467693254
306,48801,2648801,136,128,0.941176470588235,2008747928.2002,308413.143810254
307,48445,2648445,39,36,0.923076923076923,1575627777.40527,348112.123590553
308,49935,2649935,55,45,0.818181818181818,13641476692.043,841540.623529527
309,49203,2649203,211,183,0.867298578199052,756333376.076172,218809.043709057
310,49345,2649345,213,188,0.882629107981221,1499964008.54199,244615.986813035
311,49548,2649548,530,407,0.767924528301887,295358296.944336,113298.798451594
312,49229,2649229,54,51,0.944444444444444,1538971754.98999,293811.024121883
313,48843,2648843,614,547,0.890879478827362,2587005031.38574,337447.09077681
314,48836,2648836,226,202,0.893805309734513,2601506786.94531,346013.838723889
315,49827,2649827,18,15,0.833333333333333,2929773648.98047,343801.443660142
316,48038,2648038,657,590,0.898021308980213,306027066.192871,95646.4811022819
317,48026,2648026,439,407,0.927107061503417,115873756.980957,43019.9566042368
318,49619,2649619,48,36,0.75,1777380919.86426,315899.38139265
319,49858,2649858,151,107,0.708609271523179,2616198123.59082,354217.669127777
320,48161,2648161,444,359,0.808558558558559,1300603929.10828,232292.48539263
321,49270,2649270,58,56,0.96551724137931,1260958431.16016,267004.895705267
322,49461,2649461,159,139,0.874213836477987,1343909046.16797,263282.629691304
323,48326,2648326,229,222,0.96943231441048,498907862.296387,145029.050711004
324,48390,2648390,767,726,0.946544980443286,376531975.666016,103941.979743373
325,48374,2648374,10,4,0.4,256340445.115234,68197.7265450405
326,48342,2648342,111,63,0.567567567567568,161294889.667969,76137.6998593169
327,49428,2649428,374,358,0.957219251336898,480132843.716797,122421.433716015
328,48601,2648601,152,112,0.736842105263158,3058471883.67773,381384.350724523
329,48602,2648602,315,270,0.857142857142857,226597445.152344,73868.269145885
330,48074,2648074,88,46,0.522727272727273,1042015430.25928,132167.968086518
331,48466,2648466,29,28,0.96551724137931,1025413986.94873,184298.879502019
332,48817,2648817,135,128,0.948148148148148,1658820949.04004,289532.953588241
333,48198,2648198,119,93,0.781512605042017,960480216.723877,162125.476502132
334,48130,2648130,262,255,0.973282442748092,1762509991.2334,263032.845560976
335,48173,2648173,230,214,0.930434782608696,385685222.505859,124599.789486865
336,48141,2648141,101,13,0.128712871287129,174320362.721436,52712.7343313743
337,48229,2648229,108,81,0.75,78664841.1508789,45206.9359759114
338,48184,2648184,425,304,0.715294117647059,196016401.722656,85278.6224534715
339,48226,2648226,28,7,0.25,34415725.7226563,40734.2570298891
340,49080,2649080,193,170,0.880829015544041,2236188638.0874,363771.563852724
341,49615,2649615,28,26,0.928571428571429,2236105638.68457,278793.450369356
342,48706,2648706,213,190,0.892018779342723,2068276500.60449,290058.340848609
343,48623,2648623,121,114,0.942148760330578,2079382376.94629,381070.46196507
344,49068,2649068,211,204,0.966824644549763,3684643381.2041,459644.701117158
345,48813,2648813,213,156,0.732394366197183,4747509057.69751,606591.127604228
346,48840,2648840,185,178,0.962162162162162,574963311.405273,141760.180481233
347,48653,2648653,,,,7560369371.43848,683309.52343034
348,49817,2649817,17,16,0.941176470588235,2579093208.98242,417351.969296212
349,49880,2649880,20,19,0.95,6073502362.64063,457647.640645222
350,48532,2648532,421,348,0.826603325415677,429120641.240723,129335.622488864
351,48507,2648507,343,229,0.667638483965015,586522884.896973,258573.460502487
352,48462,2648462,250,219,0.876,1362918477.35693,246675.162438199
353,49968,2649968,23,20,0.869565217391304,7064808631.09375,594022.769751581
354,49945,2649945,32,31,0.96875,5123991289.77148,573641.292702206
355,48441,2648441,54,52,0.962962962962963,3157055200.00781,352096.83286294
356,48910,2648910,352,244,0.693181818181818,433518434.882813,146259.212649745
357,48883,2648883,139,114,0.820143884892086,3306502508.28711,520608.898796019
358,49240,2649240,76,73,0.960526315789474,3050612353.36499,414587.43397216
359,49234,2649234,30,8,0.266666666666667,647617691.19458,205263.030992349
360,49269,2649269,206,189,0.91747572815534,1683525511.38623,272123.994998427
361,49009,2649009,17,9,0.529411764705882,2900195982.07861,395304.995573231
362,49004,2649004,124,93,0.75,591627301.322021,176561.554777843
363,49546,2649546,329,315,0.957446808510638,520778464.790039,166600.062611169
364,49319,2649319,252,229,0.908730158730159,2482201256.15527,410387.323164221
365,48453,2648453,88,79,0.897727272727273,2990150630.31348,331742.001694705
366,48428,2648428,51,48,0.941176470588235,979929770.285156,217766.694769559
367,49279,2649279,64,58,0.90625,734605064.735779,215337.477745926
368,49267,2649267,61,56,0.918032786885246,1125383499.34204,178211.6761891
369,48116,2648116,585,550,0.94017094017094,1119104950.97852,231518.026790409
370,48066,2648066,331,300,0.906344410876133,275417194.740234,80315.0308628412
371,48310,2648310,87,41,0.471264367816092,236536668.878906,81726.9448698485
372,48092,2648092,480,407,0.847916666666667,229323509.239258,84966.9814941907
373,48041,2648041,43,40,0.930232558139535,1118445789.10986,156886.672611307
374,49660,2649660,395,190,0.481012658227848,5480149720.27637,609861.561614808
375,49675,2649675,30,30,1,476708949.070313,143953.921094295
376,49431,2649431,195,171,0.876923076923077,3445738034.23828,551564.745441602
377,49405,2649405,43,42,0.976744186046512,1938408084.21484,314730.532854493
378,49601,2649601,220,166,0.754545454545455,5951833729.49023,574366.501970661
379,48160,2648160,165,152,0.921212121212121,2254780373.36401,318273.81670339
380,48164,2648164,208,178,0.855769230769231,823433126.880127,201992.025184368
381,49415,2649415,219,188,0.858447488584475,828703594.15625,187977.877021832
382,49445,2649445,360,331,0.919444444444444,1996639270.25732,294330.471555166
383,48307,2648307,39,30,0.769230769230769,429237503.251953,91249.0702370741
384,48382,2648382,407,393,0.965601965601966,511330491.356934,131094.749169735
385,48336,2648336,317,280,0.883280757097792,253405462.424805,69370.8519462465
386,48334,2648334,583,542,0.92967409948542,250913330.234863,68863.2661030434
387,48030,2648030,339,182,0.536873156342183,78538637.8071289,37061.6818712443
388,48072,2648072,322,308,0.956521739130435,66944712.1552734,37073.1470106245
389,48009,2648009,350,333,0.951428571428571,141161729.003906,69535.1369569871
390,48097,2648097,133,121,0.909774436090226,2140951990.15381,314349.357590974
391,49091,2649091,211,185,0.876777251184834,2570445968.41052,330992.720924696
392,49072,2649072,52,47,0.903846153846154,1608700988.79346,271889.683620782
393,48741,2648741,41,35,0.853658536585366,1303579556.56445,205486.291275487
394,49079,2649079,177,145,0.819209039548023,2377454032.77271,330000.169819166
395,48168,2648168,566,562,0.992932862190813,575248970.586914,169075.765538414
