zcta19,zcta_area,count_ntm_stops,totpop13_17,stops_per_capita,stops_per_sqmile
"01054",22.95469,0,1997,0,0
"01056",28.33558,11,21331,.515681,.3882045
"01057",45.51435,0,8801,0,0
"01060",12.1793,55,15729,3.49673,4.515859
"01062",18.30611,28,10587,2.64475,1.529544
"01063",.038804,2,574,3.48432,51.54103
"01066",.7566193,0,9,0,0
"01068",21.21975,0,1849,0,0
"01069",28.37914,7,8919,.784841,.24666
"01070",20.82637,0,637,0,0
"01071",15.87825,0,1206,0,0
"01072",20.59816,0,1490,0,0
"01073",28.95707,0,6090,0,0
"01074",.1052681,0,477,0,0
"01075",18.40159,27,17755,1.5207,1.467264
"01077",31.64925,0,9711,0,0
"01079",1.169911,2,480,4.16667,1.709532
"01080",1.825847,1,2532,.394945,.5476911
"01081",14.7336,0,1827,0,0
"01082",52.3789,13,10637,1.22215,.2481916
"01083",15.81318,0,3182,0,0
"01084",9.2747,0,183,0,0
"01085",60.84888,48,41652,1.15241,.7888395
"01086",.0371245,1,683,1.46413,26.93639
"01088",5.210202,0,399,0,0
"01089",17.53016,114,28671,3.97614,6.503077
"01092",6.739923,0,1133,0,0
"01093",5.049076,0,348,0,0
"01094",1.208546,0,327,0,0
"01095",22.7872,32,14659,2.18296,1.404297
"01096",31.8709,1,2607,.383583,.0313766
"01097",1.954209,0,54,0,0
"01098",31.51196,0,1186,0,0
"01103",.5393511,58,2409,24.0764,107.5366
"01104",5.298296,115,23635,4.86567,21.70509
"01105",1.361395,57,11601,4.91337,41.86882
"01106",9.79166,32,16048,1.99402,3.268087
"01107",1.541562,83,11304,7.34253,53.84148
"01108",3.882054,161,28925,5.56612,41.47289
"01109",5.63047,184,30125,6.10788,32.67933
"01118",3.6962,43,14774,2.91052,11.63357
"01119",3.643275,44,13236,3.32427,12.07705
"01128",1.115321,2,2798,.714796,1.793206
"01129",3.518609,28,6750,4.14815,7.95769
"01151",2.553852,43,8884,4.84016,16.83731
"01199",.0109178,2,0,,183.1869
"01201",55.54282,48,44775,1.07203,.8641981
"01220",24.66442,2,8211,.243576,.0810885
"01222",3.43601,1,818,1.22249,.2910352
"01223",71.81635,0,2351,0,0
"01224",.3099447,0,209,0,0
"01225",25.81495,4,3169,1.26223,.154949
"01226",26.50593,5,6839,.731101,.188637
"01229",.7332292,0,86,0,0
"01230",93.26539,8,8359,.957052,.0857767
"01235",46.72963,1,2671,.374392,.0213997
"01236",4.864946,2,1197,1.67084,.4111042
"01237",62.26977,4,2662,1.50263,.0642366
"01238",35.87935,5,5917,.845023,.1393559
"01240",21.82342,6,4493,1.33541,.274934
"01242",.5076174,2,475,4.21053,3.939975
"01243",18.65549,0,333,0,0
"01244",2.477263,0,108,0,0
"01245",28.77599,0,803,0,0
"01247",53.10231,16,15703,1.01891,.3013052
"01253",18.69394,0,742,0,0
"01254",14.63811,0,977,0,0
"01255",52.94965,0,859,0,0
"01256",36.03533,0,764,0,0
"01257",37.0784,4,2138,1.87091,.1078795
"01258",25.98161,0,357,0,0
"01259",26.10186,0,506,0,0
"01260",2.550398,1,447,2.23714,.3920956
"01262",12.85849,5,1110,4.5045,.3888481
"01264",11.37663,0,205,0,0
"01266",26.3541,0,1360,0,0
"01267",54.65313,18,7853,2.29212,.3293499
"01270",32.01676,0,813,0,0
"01301",26.03539,18,17715,1.01609,.6913668
"01330",33.5607,0,1468,0,0
"01331",54.61081,33,13281,2.48475,.6042761
"01337",37.30543,0,2626,0,0
"01338",3.456331,0,170,0,0
"01339",55.17002,1,1472,.679348,.0181258
"01340",44.04442,0,1642,0,0
"01341",35.88474,0,1743,0,0
"01342",18.69004,2,1759,1.13701,.1070088
"01343",4.903876,0,46,0,0
"01344",14.14323,1,1518,.658762,.0707052
"01346",21.39323,0,464,0,0
"01347",.6625992,0,126,0,0
"01349",7.898627,2,1231,1.6247,.2532086
"01350",10.82933,0,86,0,0
"01351",21.35485,1,2209,.452694,.0468278
"01354",14.80047,0,1604,0,0
"01355",61.16743,1,917,1.09051,.0163486
"01360",35.34991,0,3012,0,0
"01364",40.33208,23,7819,2.94155,.5702657
"01366",40.93962,0,1218,0,0
"01367",27.21231,0,605,0,0
"01368",42.54797,0,1316,0,0
"01370",50.37674,5,4032,1.24008,.0992521
"01373",24.73783,10,4160,2.40385,.4042391
"01375",14.74033,14,3662,3.82305,.9497749
"01376",3.328307,10,5096,1.96232,3.00453
"01378",34.34059,0,744,0,0
"01379",30.57724,0,836,0,0
"01420",31.00521,62,40666,1.52462,1.999664
"01430",39.5706,0,6210,0,0
"01431",24.05044,0,3195,0,0
"01432",8.938594,7,7703,.908737,.7831209
"01434",5.432582,9,1712,5.25701,1.656671
"01436",9.787824,3,3460,.867052,.3065033
"01438",.5607744,1,563,1.7762,1.783248
"01440",25.00393,29,20496,1.41491,1.159817
"01450",33.78077,0,11282,0,0
"01451",19.78552,0,4630,0,0
"01452",41.98241,0,4581,0,0
"01453",29.00315,33,41446,.796217,1.137807
"01460",17.50931,4,9754,.410088,.2284499
"01462",27.74566,10,11150,.896861,.3604167
"01463",23.17291,0,12049,0,0
"01464",15.05651,4,7572,.528262,.2656657
"01467",1.901983,0,511,0,0
"01468",21.67305,2,4124,.484966,.0922805
"01469",23.00962,0,7454,0,0
"01473",37.25451,2,7566,.26434,.0536848
"01474",9.960761,0,1964,0,0
"01475",43.89531,4,10738,.372509,.0911259
"01501",16.38908,32,16412,1.94979,1.952519
"01503",13.17521,0,3098,0,0
"01504",11.42855,0,9201,0,0
"01505",19.74696,0,4524,0,0
"01506",16.58349,3,3406,.880799,.1809028
"01507",43.79291,22,13379,1.64437,.5023645
"01510",7.266096,0,13855,0,0
"01515",10.42401,9,2123,4.23928,.8633916
"01516",38.32209,0,8745,0,0
"01518",9.62746,0,3490,0,0
"01519",11.02399,1,6657,.150218,.0907112
"01520",18.77409,0,15061,0,0
"01521",13.055,0,2510,0,0
"01522",16.92081,0,3497,0,0
"01523",25.65244,0,7735,0,0
"01524",16.94384,10,6702,1.49209,.590185
"01525",.4801539,0,227,0,0
"01527",16.29684,25,13521,1.84898,1.53404
"01529",4.919043,0,3237,0,0
"01531",20.91765,0,1247,0,0
"01532",18.74379,0,14918,0,0
"01534",8.884055,0,6262,0,0
"01535",21.94577,0,4760,0,0
"01536",8.624587,4,7709,.518874,.4637903
"01537",7.096671,13,2337,5.56269,1.831845
"01540",20.13627,12,11386,1.05393,.5959396
"01541",35.83094,0,3438,0,0
"01542",4.18949,0,2299,0,0
"01543",36.26329,0,8463,0,0
"01545",21.79521,30,36269,.827153,1.376449
"01550",20.86115,12,16858,.711828,.5752319
"01560",3.66638,2,4477,.446728,.5454972
