Zipcode,Latitude,Longitude,Total_Students,Free Lunch (%),Reduced Lunch (%),PCT_FreeReduced,Grad Rate (%),College Readiness (%),Stop Count,Stops Per Capita,Stops per Sq Mile
48009,42.5444,-83.2133,3096.0,0.0555555555555556,0.0051679586563307,0.0607235142118863,0.951428571428571,0.730103806228374,2,0.095988,0.3955775
48021,42.4658,-82.9459,2966.0,0.774443695212407,0.0374241402562374,0.811867835468645,0.762773722627737,0.0,12,0.369015,2.338599
48030,42.4608,-83.0982,3116.0,0.700898587933248,0.0285622593068036,0.729460847240051,0.536873156342183,0.139917695473251,14,0.844034,4.970329
48073,42.519,-83.157,3015.0,0.201658374792703,0.0321724709784411,0.233830845771144,0.883435582822086,0.541095890410959,2,0.059172,0.2710365
48075,42.4638,-83.2255,2707.0,0.659401551533062,0.0731437015145918,0.732545253047654,0.857142857142857,0.177215189873418,44,2.03027,5.949468
48089,42.4685,-82.9974,4112.0,0.830009727626459,0.0406128404669261,0.870622568093385,0.666666666666667,0.0538922155688623,18,0.578128,2.263376
48091,42.4665,-83.0593,4353.0,0.804043188605559,0.0519182173213876,0.855961405926947,0.617647058823529,0.159836065573771,20,0.644683,2.503868
48103,42.2794,-83.784,8999.0,0.212690298922102,0.018557617513057,0.231247916435159,0.845537757437071,0.597839135654262,292,5.28316,4.454891
48104,42.2694,-83.7282,3875.0,0.375483870967742,0.024258064516129,0.399741935483871,0.795454545454545,0.53072625698324,261,6.1781,32.52339
48105,42.3042,-83.7068,4913.0,0.177284754732343,0.025239161408508,0.202523916140851,0.92258064516129,0.667238421955403,201,5.669,3.965413
48108,42.2328,-83.7015,4227.0,0.276555476697421,0.0338301395788976,0.310385616276319,0.967592592592593,0.645232815964523,128,4.90572,7.524426
48111,42.1949,-83.4854,5391.0,0.502504173622705,0.0450751252086811,0.547579298831386,0.845965770171149,0.205962059620596,2,0.048306,0.028665
48118,42.3207,-84.0334,2422.0,0.107762180016515,0.0119735755573906,0.119735755573906,0.943877551020408,0.719827586206897,1,0.078958,0.0108795
48122,42.2812,-83.1826,2939.0,0.801973460360667,0.0554610411704661,0.857434501531133,0.8625,0.0871369294605809,2,0.191718,0.724003
48124,42.2941,-83.2536,6820.0,0.608357771260997,0.0406158357771261,0.648973607038123,0.959390862944162,0.350136239782016,1,0.034327,0.1123655
48126,42.3349,-83.1801,12807.0,0.870539548684313,0.0320918247833216,0.902631373467635,0.89410348977136,0.21595598349381,154,3.21449,15.56604
48127,42.3353,-83.2864,7490.0,0.780106809078772,0.0397863818424566,0.819893190921228,0.831013916500994,0.299334811529933,17,0.471136,2.207361
48128,42.32,-83.2701,2427.0,0.451586320560363,0.0523279769262464,0.503914297486609,0.947368421052632,0.611111111111111,1,0.093449,0.4139068
48146,42.2422,-83.1807,4834.0,0.815059991725279,0.0544062887877534,0.869466280513033,0.801749271137026,0.2125,1,0.027007,0.1703364
48150,42.3615,-83.3649,4934.0,0.321645723550872,0.0531009323064451,0.374746655857317,0.907431551499348,0.414307004470939,10,0.380604,0.8235394
48176,42.1698,-83.7849,2979.0,0.122860020140987,0.0302114803625378,0.153071500503525,0.714285714285714,0.0,7,0.305104,0.0936537
48187,42.332,-83.4695,12314.0,0.16030534351145,0.0272860159168426,0.187591359428293,0.944871794871795,0.61744966442953,2,0.04069,0.1105818
48197,42.2325,-83.6336,7698.0,0.511951156144453,0.0553390491036633,0.567290205248116,0.785714285714286,0.176591375770021,223,3.2903,5.166963
48198,42.2439,-83.583,3378.0,0.612492599171107,0.0328596802841918,0.645352279455299,0.781512605042017,0.702290076335878,152,3.94949,4.41163
48201,42.3474,-83.0604,4229.0,0.730905651454244,0.0283755024828565,0.759281153937101,0.951911220715166,0.187864644107351,103,6.7848,51.36234
48202,42.377,-83.0796,4352.0,0.709329044117647,0.0762867647058824,0.785615808823529,0.92358803986711,0.0657439446366782,178,10.6817,53.50526
48205,42.4313,-82.9813,4377.0,0.930089102124743,0.0075394105551747,0.937628512679918,0.786458333333333,0.0,254,7.3368,39.79406
48206,42.3749,-83.1087,1420.0,0.877464788732394,0.0014084507042253,0.87887323943662,0.582278481012658,0.0,154,9.10973,49.26812
